"","metodologia","mse","accuracy","n","seed"
"219","Naive",65.8997428448903,0.4,200,22
"220","Oracle",60.2109358486224,1,575,22
"221","Lasso",46.2461841634553,0.52,497,23
"222","Ada Lasso",46.4898941429486,0.56,1415,23
"223","Local prior",48.1850404455593,0.66,3066,23
"224","Non local",49.9462453565679,0.62,3066,23
"225","Lasso mod 10000",45.1491661448172,0.58,766,23
"226","Lasso mod 200",44.7524528122211,0.62,968,23
"227","Lasso mod 100",44.7524528122211,0.62,968,23
"228","Lasso mod 50",45.2190825937871,0.6,1082,23
"229","Naive",54.1541199089621,0.4,200,23
"230","Oracle",43.9495061679888,1,484,23
"231","Lasso",42.4005369489714,0.66,681,24
"232","Ada Lasso",45.0288489818039,0.62,2044,24
"233","Local prior",45.0525527924252,0.6,2628,24
"234","Non local",45.4580226137978,0.62,3680,24
"235","Lasso mod 10000",42.5553421142379,0.6,836,24
"236","Lasso mod 200",42.5553421142379,0.6,836,24
"237","Lasso mod 100",42.5553421142379,0.6,836,24
"238","Lasso mod 50",47.197597762711,0.6,4600,24
"239","Naive",46.7950815142823,0.4,200,24
"240","Oracle",41.4575475744475,1,511,24
"241","Lasso",107.649582797645,0.62,484,25
"242","Ada Lasso",114.108621709702,0.66,2628,25
"243","Local prior",108.951679362601,0.7,2044,25
"244","Non local",114.108621709702,0.66,2628,25
"245","Lasso mod 10000",107.214472746596,0.56,634,25
"246","Lasso mod 200",110.419705873853,0.58,1672,25
"247","Lasso mod 100",107.465012346459,0.6,707,25
"248","Lasso mod 50",110.419705873853,0.58,1672,25
"249","Naive",113.475000924777,0.4,200,25
"250","Oracle",103.715189940586,1,497,25
"251","Lasso",21.9511467163982,0.68,575,26
"252","Ada Lasso",21.9959176593237,0.72,968,26
"253","Local prior",25.0710053713535,0.66,2044,26
"254","Non local",24.0615179502435,0.64,1840,26
"255","Lasso mod 10000",25.8425663083094,0.58,6133,26
"256","Lasso mod 200",25.8425663083094,0.58,6133,26
"257","Lasso mod 100",25.8425663083094,0.58,6133,26
"258","Lasso mod 50",25.8425663083094,0.58,6133,26
"259","Naive",22.5001751677793,0.4,200,26
"260","Oracle",21.2851576106788,1,438,26
"261","Lasso",46.071698531836,0.6,634,27
"262","Ada Lasso",46.1419237563576,0.66,836,27
"263","Local prior",46.6745134756705,0.7,1314,27
"264","Non local",47.0213619461194,0.7,1672,27
"265","Lasso mod 10000",47.218435311685,0.64,575,27
"266","Lasso mod 200",47.218435311685,0.64,575,27
"267","Lasso mod 100",46.203082479046,0.7,836,27
"268","Lasso mod 50",46.203082479046,0.7,836,27
"269","Naive",50.1655467390255,0.4,200,27
"270","Oracle",45.6633162108734,1,557,27
"271","Lasso",58.9538621530105,0.64,391,28
"272","Ada Lasso",63.5417267937069,0.66,2300,28
"273","Local prior",64.1561222723122,0.6,1415,28
"274","Non local",68.0592289230803,0.58,3066,28
"275","Lasso mod 10000",58.8204925426824,0.6,484,28
"276","Lasso mod 200",58.8204925426824,0.6,484,28
"277","Lasso mod 100",59.8587418690332,0.6,968,28
"278","Lasso mod 50",76.4132993667813,0.6,Inf,28
"279","Naive",60.8514191811928,0.4,200,28
"280","Oracle",55.6459066636694,1,484,28
"281","Lasso",33.1706032006603,0.74,920,29
"282","Ada Lasso",33.8799283120936,0.74,1150,29
"283","Local prior",35.6387937536673,0.66,2628,29
"284","Non local",34.3901300727743,0.66,2628,29
"285","Lasso mod 10000",33.0530744410067,0.64,707,29
"286","Lasso mod 200",34.6857327878824,0.66,1150,29
"287","Lasso mod 100",34.6857327878824,0.66,1150,29
"288","Lasso mod 50",34.6857327878824,0.66,1150,29
"289","Naive",32.6388631243504,0.4,200,29
"290","Oracle",29.9770229130073,1,557,29
"291","Lasso",59.935146300516,0.62,968,30
"292","Ada Lasso",62.5387916685083,0.6,2300,30
"293","Local prior",65.5960421049244,0.6,4600,30
"294","Non local",63.3621947748076,0.58,4600,30
"295","Lasso mod 10000",61.2909055957704,0.7,1840,30
"296","Lasso mod 200",61.8892153792048,0.68,2300,30
"297","Lasso mod 100",61.8892153792048,0.68,2300,30
"298","Lasso mod 50",61.8892153792048,0.68,2300,30
