"","metodologia","mse","accuracy","n","seed"
"189","Naive",20.3268349190219,0.4,200,19
"190","Oracle",19.379760551217,1,497,19
"191","Lasso",26.3174184282411,0.64,391,20
"192","Ada Lasso",26.3453309865997,0.68,575,20
"193","Local prior",27.0371078223592,0.72,920,20
"194","Non local",26.9719459901276,0.7,876,20
"195","Lasso mod 10000",26.20770173503,0.54,400,20
"196","Lasso mod 200",26.2022818225193,0.62,511,20
"197","Lasso mod 100",26.2022818225193,0.62,511,20
"198","Lasso mod 50",26.1830643154097,0.68,593,20
"199","Naive",28.8225019710437,0.4,200,20
"200","Oracle",24.8421454251992,1,471,20
"201","Lasso",14.6964039704502,0.7,391,21
"202","Ada Lasso",14.6369519867549,0.8,613,21
"203","Local prior",14.3712386550682,0.78,1226,21
"204","Non local",14.4702897576528,0.76,1415,21
"205","Lasso mod 10000",14.9572386490337,0.7,448,21
"206","Lasso mod 200",14.6598296635586,0.72,541,21
"207","Lasso mod 100",14.6598296635586,0.72,541,21
"208","Lasso mod 50",16.0434767491189,0.68,1226,21
"209","Naive",16.3090151050171,0.4,200,21
"210","Oracle",14.6269009773678,1,511,21
"211","Lasso",26.423824410901,0.64,471,22
"212","Ada Lasso",26.9191593162858,0.68,1672,22
"213","Local prior",26.9739166800427,0.7,2300,22
"214","Non local",26.9739166800427,0.7,2300,22
"215","Lasso mod 10000",26.6188696555166,0.68,375,22
"216","Lasso mod 200",25.5706897902282,0.68,707,22
"217","Lasso mod 100",25.390153231141,0.7,876,22
"218","Lasso mod 50",26.5518197433618,0.7,1415,22
"219","Naive",27.5868076403703,0.4,200,22
"220","Oracle",25.0679818183185,1,575,22
"221","Lasso",19.9649718699264,0.6,400,23
"222","Ada Lasso",20.6700728926166,0.62,1533,23
"223","Local prior",21.5807023313405,0.64,2300,23
"224","Non local",23.1170564140821,0.66,3066,23
"225","Lasso mod 10000",20.0926617316366,0.58,736,23
"226","Lasso mod 200",20.3489572843542,0.6,1082,23
"227","Lasso mod 100",20.3489572843542,0.6,1082,23
"228","Lasso mod 50",20.3489572843542,0.6,1082,23
"229","Naive",23.2862715608537,0.4,200,23
"230","Oracle",18.8982876522352,1,484,23
"231","Lasso",17.9767307134653,0.6,334,24
"232","Ada Lasso",19.0951284723004,0.68,1314,24
"233","Local prior",19.2879533016878,0.64,1672,24
"234","Non local",19.2879533016878,0.64,1672,24
"235","Lasso mod 10000",17.317522995523,0.64,497,24
"236","Lasso mod 200",18.2484679338589,0.66,593,24
"237","Lasso mod 100",19.4393542785453,0.64,968,24
"238","Lasso mod 50",19.3610146135287,0.62,1022,24
"239","Naive",18.2915649859618,0.4,200,24
"240","Oracle",16.8357972244996,1,511,24
"241","Lasso",46.6452521668106,0.68,418,25
"242","Ada Lasso",49.3617426902457,0.7,1022,25
"243","Local prior",50.2063681305464,0.7,1314,25
"244","Non local",53.0022053650089,0.7,2044,25
"245","Lasso mod 10000",47.6987001789405,0.6,334,25
"246","Lasso mod 200",50.1584995365917,0.62,1226,25
"247","Lasso mod 100",50.2599046158375,0.6,800,25
"248","Lasso mod 50",50.1584995365917,0.62,1226,25
"249","Naive",51.9572902602008,0.4,200,25
"250","Oracle",45.5278599445192,1,497,25
"251","Lasso",10.0258995740068,0.66,484,26
