"","metodologia","mse","accuracy","n","seed"
"159","Naive",11.1238242850856,0.1,200,20
"160","Oracle",9.63822135246375,1,2300,20
"161","Lasso",34.6481013324082,0.78,1082,21
"162","Ada Lasso",34.2079123608406,0.92,9200,21
"163","Local prior",34.2079123608406,0.92,9200,21
"164","Non local",34.2079123608406,0.92,9200,21
"165","Ada mod",34.2535277954781,0.9,6133,21
"166","Lasso mod",33.6691337171604,0.92,4600,21
"167","Naive",38.2922573531175,0.1,200,21
"168","Oracle",32.1823388804402,1,2300,21
"169","Lasso",9.63643633050483,0.9,9200,22
"170","Ada Lasso",10.3435693006201,0.9,Inf,22
"171","Local prior",10.2622722522297,0.86,3066,22
"172","Non local",10.3435693006201,0.9,Inf,22
"173","Ada mod",9.63643633050483,0.9,9200,22
"174","Lasso mod",9.63643633050483,0.9,9200,22
"175","Naive",10.9547903432267,0.1,200,22
"176","Oracle",9.57849615106933,1,2628,22
"177","Lasso",20.7841202715359,0.8,1226,23
"178","Ada Lasso",20.711671776928,0.84,1415,23
"179","Local prior",21.6384936824414,0.86,2300,23
"180","Non local",22.230692729117,0.86,4600,23
"181","Ada mod",20.7841202715359,0.8,1226,23
"182","Lasso mod",20.9161335104742,0.78,1840,23
"183","Naive",22.9454785770453,0.1,200,23
"184","Oracle",20.1752127085267,1,2044,23
"185","Lasso",39.3007217983741,0.88,1672,24
"186","Ada Lasso",40.9157285822985,0.92,9200,24
"187","Local prior",40.9157285822985,0.92,9200,24
"188","Non local",40.9157285822985,0.92,9200,24
"189","Ada mod",38.4257528209449,0.9,1415,24
"190","Lasso mod",40.9782358327675,0.88,4600,24
"191","Naive",42.5815618145771,0.1,200,24
"192","Oracle",37.8113127419175,1,1840,24
"193","Lasso",26.7453016922085,0.64,541,25
"194","Ada Lasso",27.4101687623814,0.84,4600,25
"195","Local prior",26.8335853981264,0.86,2628,25
"196","Non local",27.5862040339966,0.9,Inf,25
"197","Ada mod",26.2616715516317,0.68,736,25
"198","Lasso mod",27.3239532944338,0.86,9200,25
"199","Naive",29.4999722910376,0.1,200,25
"200","Oracle",25.3118864038333,1,1672,25
"201","Lasso",8.8040709704306,0.8,2628,26
"202","Ada Lasso",8.83988203120885,0.86,9200,26
"203","Local prior",8.83988203120885,0.86,9200,26
"204","Non local",8.78218228639452,0.88,18400,26
"205","Ada mod",8.8040709704306,0.8,2628,26
"206","Lasso mod",8.86241633110182,0.84,6133,26
"207","Naive",9.03514790350892,0.1,200,26
"208","Oracle",8.39531458353336,1,2300,26
"209","Lasso",5.78354950623694,0.88,3680,27
"210","Ada Lasso",5.80952008814276,0.92,9200,27
"211","Local prior",5.80952008814276,0.92,9200,27
"212","Non local",5.80952008814276,0.92,9200,27
"213","Ada mod",5.80952008814276,0.92,9200,27
"214","Lasso mod",6.12544915377098,0.9,Inf,27
"215","Naive",6.07706126892247,0.1,200,27
"216","Oracle",5.41534582034989,1,2628,27
"217","Lasso",115.896829419773,0.7,657,28
"218","Ada Lasso",114.81806789209,0.72,707,28
"219","Local prior",114.966971145402,0.84,2628,28
"220","Non local",111.896522416298,0.94,3680,28
"221","Ada mod",116.208408684822,0.7,766,28
"222","Lasso mod",114.744879330674,0.78,920,28
"223","Naive",132.296776400636,0.1,200,28
"224","Oracle",112.458898716472,1,1672,28
"225","Lasso",20.0223815005064,0.88,3066,29
"226","Ada Lasso",22.4195320465655,0.9,Inf,29
"227","Local prior",21.1101476893266,0.88,9200,29
"228","Non local",22.4195320465655,0.9,Inf,29
"229","Ada mod",22.4195320465655,0.9,Inf,29
"230","Lasso mod",22.4195320465655,0.9,Inf,29
"231","Naive",22.7097752917348,0.1,200,29
"232","Oracle",19.5476202125203,1,1533,29
"233","Lasso",13.8205248971032,0.86,2628,30
"234","Ada Lasso",15.0403813499706,0.9,Inf,30
"235","Local prior",14.1792685032364,0.9,6133,30
"236","Non local",15.0403813499706,0.9,Inf,30
"237","Ada mod",13.827318112624,0.84,2300,30
"238","Lasso mod",15.0403813499706,0.9,Inf,30
"239","Naive",14.9909945736753,0.1,200,30
"240","Oracle",13.4003496446877,1,2300,30
"241","Lasso",91.5448424640618,0.86,2628,31
"242","Ada Lasso",97.5942718304414,0.9,Inf,31
"243","Local prior",93.0138966471292,0.9,6133,31
"244","Non local",97.5942718304414,0.9,Inf,31
"245","Ada mod",93.0009957728944,0.82,3066,31
"246","Lasso mod",97.5942718304414,0.9,Inf,31
"247","Naive",102.168792862649,0.1,200,31
"248","Oracle",89.4645729672113,1,2300,31
"249","Lasso",64.5272217044621,0.92,18400,32
"250","Ada Lasso",68.4123897138598,0.9,Inf,32
"251","Local prior",64.5272217044621,0.92,18400,32
"252","Non local",68.4123897138598,0.9,Inf,32
"253","Ada mod",62.3534407379641,0.92,3680,32
"254","Lasso mod",62.4298658089269,0.94,9200,32
"255","Naive",68.386783601312,0.1,200,32
"256","Oracle",58.4114455863393,1,2300,32
"257","Lasso",13.4763407360495,0.84,2300,33
"258","Ada Lasso",13.5000061046819,0.88,6133,33
"259","Local prior",13.5000061046819,0.88,6133,33
"260","Non local",13.6525051235427,0.9,Inf,33
"261","Ada mod",13.4600870072591,0.86,3680,33
"262","Lasso mod",13.6525051235427,0.9,Inf,33
"263","Naive",14.0569950627904,0.1,200,33
"264","Oracle",12.295261958972,1,2300,33
"265","Lasso",38.2433698681622,0.78,766,34
"266","Ada Lasso",40.3506062924604,0.92,9200,34
"267","Local prior",37.3573042401227,0.94,2628,34
"268","Non local",42.7748874807733,0.9,Inf,34
"269","Ada mod",38.9073962195379,0.92,4600,34
"270","Lasso mod",42.7748874807733,0.9,Inf,34
"271","Naive",40.0164617299868,0.1,200,34
"272","Oracle",37.3369215764477,1,1840,34
"273","Lasso",26.4841787441688,0.9,1840,35
"274","Ada Lasso",26.603192358067,0.94,6133,35
"275","Local prior",26.603192358067,0.94,6133,35
"276","Non local",26.9200676566319,0.92,18400,35
"277","Ada mod",26.4841787441688,0.9,1840,35
"278","Lasso mod",26.9200676566319,0.92,18400,35
"279","Naive",30.5157684447715,0.1,200,35
"280","Oracle",26.0086093102594,1,2628,35
"281","Lasso",54.3518371805603,0.82,876,36
"282","Ada Lasso",56.8369960823306,0.9,3680,36
"283","Local prior",56.2948287442176,0.9,2300,36
"284","Non local",59.991908558493,0.9,Inf,36
"285","Ada mod",58.9195784035918,0.86,3066,36
"286","Lasso mod",59.991908558493,0.9,Inf,36
"287","Naive",59.9579802382888,0.1,200,36
"288","Oracle",53.5742448713362,1,1840,36
"289","Lasso",35.5964415401931,0.9,2628,37
"290","Ada Lasso",35.9057527031215,0.92,18400,37
"291","Local prior",35.9057527031215,0.92,18400,37
"292","Non local",35.9057527031215,0.92,18400,37
"293","Ada mod",35.5465408473061,0.92,3066,37
"294","Lasso mod",35.9057527031215,0.92,18400,37
"295","Naive",37.5731007912091,0.1,200,37
"296","Oracle",34.5662728747434,1,2628,37
"297","Lasso",30.2709439345348,0.74,707,38
"298","Ada Lasso",30.6867740637594,0.86,1672,38
"299","Local prior",30.591747371295,0.9,4600,38
"300","Non local",30.6577280894022,0.92,6133,38
"301","Ada mod",31.3872267900588,0.82,2044,38
"302","Lasso mod",31.2937289720742,0.84,2628,38
"303","Naive",35.3698034008633,0.1,200,38
"304","Oracle",30.121495753852,1,2300,38
"305","Lasso",18.3887778617347,0.9,2044,39
"306","Ada Lasso",20.955074826492,0.9,Inf,39
"307","Local prior",20.5091324675685,0.84,3066,39
"308","Non local",20.955074826492,0.9,Inf,39
"309","Ada mod",20.040312303681,0.9,4600,39
"310","Lasso mod",19.7820801709465,0.84,4600,39
"311","Naive",21.3202083593277,0.1,200,39
"312","Oracle",18.0132518378887,1,1672,39
"313","Lasso",20.7302497073094,0.62,448,40
"314","Ada Lasso",20.3603382801892,0.92,4600,40
"315","Local prior",21.3480447862399,0.92,4600,40
"316","Non local",21.4597200371366,0.9,Inf,40
"317","Ada mod",19.6468350545523,0.84,968,40
"318","Lasso mod",21.3057022083125,0.92,6133,40
"319","Naive",23.9647378441741,0.1,200,40
"320","Oracle",19.5197762182132,1,2300,40
"321","Lasso",63.0652861873019,0.82,1533,41
"322","Ada Lasso",65.1066996611912,0.86,9200,41
"323","Local prior",65.9707554401736,0.88,18400,41
"324","Non local",65.9707554401736,0.88,18400,41
"325","Ada mod",63.3737160923171,0.82,1533,41
"326","Lasso mod",65.0026817774094,0.82,4600,41
"327","Naive",73.1963352562795,0.1,200,41
"328","Oracle",62.1157519022637,1,2300,41
"329","Lasso",65.4553102689411,0.84,1840,42
"330","Ada Lasso",67.589945337236,0.88,18400,42
"331","Local prior",67.589945337236,0.88,18400,42
"332","Non local",69.5336545173983,0.9,Inf,42
"333","Ada mod",65.0593349772025,0.92,4600,42
"334","Lasso mod",66.1765861812991,0.9,9200,42
"335","Naive",75.64154213755,0.1,200,42
"336","Oracle",63.7542050949585,1,1840,42
"337","Lasso",113.802987669655,0.86,1415,43
"338","Ada Lasso",114.254868994937,0.92,3680,43
"339","Local prior",115.365563403205,0.92,9200,43
"340","Non local",115.365563403205,0.92,9200,43
"341","Ada mod",113.758523941822,0.86,1672,43
"342","Lasso mod",113.967791581871,0.86,1840,43
"343","Naive",122.093987509288,0.1,200,43
"344","Oracle",113.492622056117,1,2300,43
"345","Lasso",26.870787135178,0.86,2300,44
"346","Ada Lasso",26.8654018315976,0.86,1840,44
"347","Local prior",26.9407241763433,0.88,2044,44
"348","Non local",28.9104267518707,0.9,Inf,44
"349","Ada mod",26.4155305783535,0.84,2300,44
"350","Lasso mod",27.0056752277107,0.86,3066,44
"351","Naive",30.6081295334841,0.1,200,44
"352","Oracle",26.3812275264047,1,3066,44
"353","Lasso",41.0745506033034,0.88,1672,45
"354","Ada Lasso",41.2810963320731,0.92,2628,45
"355","Local prior",41.2810963320731,0.92,2628,45
"356","Non local",43.0066985642417,0.92,9200,45
"357","Ada mod",41.0745506033034,0.88,1672,45
"358","Lasso mod",43.5197174634662,0.88,18400,45
"359","Naive",46.1830969998525,0.1,200,45
"360","Oracle",40.9914732662367,1,2044,45
"361","Lasso",73.9531849446103,0.64,613,46
"362","Ada Lasso",74.0684408750462,0.7,876,46
"363","Local prior",74.5571541291698,0.84,1533,46
"364","Non local",77.0141075886974,0.92,6133,46
"365","Ada mod",74.0658566168927,0.8,968,46
"366","Lasso mod",75.3415018979319,0.64,968,46
"367","Naive",82.0087032900859,0.1,200,46
"368","Oracle",72.5657677158648,1,1415,46
"369","Lasso",43.4652012721032,0.9,Inf,47
"370","Ada Lasso",43.4652012721032,0.9,Inf,47
"371","Local prior",41.1605546885392,0.88,18400,47
"372","Non local",43.4652012721032,0.9,Inf,47
"373","Ada mod",37.5875935778037,0.82,1415,47
"374","Lasso mod",41.2411787887818,0.84,6133,47
"375","Naive",42.3360692261718,0.1,200,47
"376","Oracle",37.5407213601492,1,1840,47
"377","Lasso",93.9196350194839,0.82,920,48
"378","Ada Lasso",93.4330937635461,0.9,2628,48
"379","Local prior",93.4330937635461,0.9,2628,48
"380","Non local",97.2466908796495,0.9,Inf,48
"381","Ada mod",93.5779381449966,0.84,968,48
"382","Lasso mod",97.2466908796495,0.9,Inf,48
"383","Naive",108.913907244522,0.1,200,48
"384","Oracle",92.2020746111718,1,2044,48
"385","Lasso",35.0892610956811,0.9,2628,49
"386","Ada Lasso",35.0120297053205,0.94,6133,49
"387","Local prior",35.0120297053205,0.94,6133,49
"388","Non local",35.0120297053205,0.94,6133,49
"389","Ada mod",35.0836824504103,0.92,9200,49
"390","Lasso mod",35.0836824504103,0.92,9200,49
"391","Naive",38.2911365144064,0.1,200,49
"392","Oracle",34.5796694203773,1,2628,49
"393","Lasso",23.9497320243576,0.74,836,50
"394","Ada Lasso",24.5226053626641,0.9,3066,50
"395","Local prior",24.6392234658173,0.92,4600,50
"396","Non local",24.6392234658173,0.92,4600,50
"397","Ada mod",23.8555308588785,0.78,1022,50
"398","Lasso mod",24.6462558686601,0.86,2628,50
"399","Naive",26.5949491803104,0.1,200,50
"400","Oracle",23.6849047342332,1,2628,50
"401","Lasso",44.1093900046405,0.88,1415,51
"402","Ada Lasso",46.609658016094,0.88,9200,51
"403","Local prior",44.1487215932997,0.9,2300,51
"404","Non local",46.609658016094,0.88,9200,51
"405","Ada mod",45.5536287288601,0.84,2044,51
"406","Lasso mod",46.5178770002158,0.9,9200,51
"407","Naive",52.8613750831166,0.1,200,51
"408","Oracle",43.5404091754904,1,2300,51
"409","Lasso",5.89335238790848,0.92,9200,52
"410","Ada Lasso",5.89335238790848,0.92,9200,52
"411","Local prior",5.89658427309907,0.9,3680,52
"412","Non local",6.42241136583245,0.9,Inf,52
"413","Ada mod",5.89335238790848,0.92,9200,52
"414","Lasso mod",6.42241136583245,0.9,Inf,52
"415","Naive",6.51846289391019,0.1,200,52
"416","Oracle",5.79474568435956,1,2300,52
"417","Lasso",34.7536805110343,0.84,1082,53
"418","Ada Lasso",34.3316165008679,0.92,1840,53
"419","Local prior",36.7597692100893,0.9,3680,53
"420","Non local",37.9337019318646,0.9,Inf,53
"421","Ada mod",34.6704068886705,0.88,1314,53
"422","Lasso mod",36.7365829157312,0.92,18400,53
"423","Naive",39.8739738245241,0.1,200,53
"424","Oracle",34.2107190590094,1,1672,53
"425","Lasso",72.9607028403375,0.86,3066,54
"426","Ada Lasso",72.9327271285882,0.9,6133,54
"427","Local prior",72.924666118998,0.92,9200,54
"428","Non local",72.924666118998,0.92,9200,54
"429","Ada mod",72.9607028403375,0.86,3066,54
"430","Lasso mod",73.4210566057009,0.82,2628,54
"431","Naive",81.6592969338002,0.1,200,54
"432","Oracle",72.8540079363319,1,1415,54
"433","Lasso",62.862968153802,0.9,Inf,55
"434","Ada Lasso",62.862968153802,0.9,Inf,55
"435","Local prior",62.862968153802,0.9,Inf,55
"436","Non local",62.862968153802,0.9,Inf,55
"437","Ada mod",62.862968153802,0.9,Inf,55
"438","Lasso mod",62.862968153802,0.9,Inf,55
"439","Naive",70.8198024707623,0.1,200,55
"440","Oracle",56.8129140526434,1,2044,55
"441","Lasso",73.2766618227477,0.94,4600,56
"442","Ada Lasso",75.2683970299722,0.92,9200,56
"443","Local prior",75.2683970299722,0.92,9200,56
"444","Non local",75.2683970299722,0.92,9200,56
"445","Ada mod",73.2766618227477,0.94,4600,56
"446","Lasso mod",76.8903693713747,0.82,4600,56
"447","Naive",77.086453559606,0.1,200,56
"448","Oracle",71.3768679033637,1,1672,56
"449","Lasso",20.7263894974037,0.8,1150,57
"450","Ada Lasso",20.9000184209581,0.9,1840,57
"451","Local prior",21.1319226408757,0.88,2628,57
"452","Non local",21.1319226408757,0.88,2628,57
"453","Ada mod",20.6759408081647,0.82,1415,57
"454","Lasso mod",21.6093994676794,0.86,9200,57
"455","Naive",23.7667505514712,0.1,200,57
"456","Oracle",20.1932435726268,1,1533,57
"457","Lasso",92.9040802167588,0.68,707,58
"458","Ada Lasso",93.0154447475559,0.9,6133,58
"459","Local prior",93.0979841964988,0.86,2044,58
"460","Non local",95.6156944654953,0.88,18400,58
"461","Ada mod",92.2006913715463,0.84,1840,58
"462","Lasso mod",92.3072699247485,0.84,2044,58
"463","Naive",102.315188015977,0.1,200,58
"464","Oracle",89.4712584803984,1,2044,58
"465","Lasso",18.2779041405252,0.88,1672,59
"466","Ada Lasso",18.2595187336795,0.92,9200,59
"467","Local prior",18.2595187336795,0.92,9200,59
"468","Non local",18.2595187336795,0.92,9200,59
"469","Ada mod",18.2663893370964,0.9,3680,59
"470","Lasso mod",18.254244531212,0.94,6133,59
"471","Naive",19.9482548454888,0.1,200,59
"472","Oracle",18.1324063386883,1,2628,59
"473","Lasso",58.2800499126739,0.88,3066,60
