"","metodologia","mse","accuracy","n","seed"
"321","Lasso",204.941333561786,0.2,Inf,41
"322","Ada Lasso",204.532898535949,0.22,9200,41
"323","Local prior",204.532898535949,0.22,9200,41
"324","Non local",204.941333561786,0.2,Inf,41
"325","Ada mod",199.893299725375,0.2,9200,41
"326","Lasso mod",199.709635641103,0.32,1840,41
"327","Naive",210.856285779611,0.8,200,41
"328","Oracle",202.698913123673,1,245,41
"329","Lasso",345.030203229568,0.5,657,42
"330","Ada Lasso",341.24896553901,0.4,1082,42
"331","Local prior",359.380698023504,0.24,6133,42
"332","Non local",359.380698023504,0.24,6133,42
"333","Ada mod",341.931805166561,0.48,707,42
"334","Lasso mod",338.84438621391,0.34,1533,42
"335","Naive",373.219421667216,0.8,200,42
"336","Oracle",365.404976628375,1,245,42
"337","Lasso",337.126369197746,0.38,836,43
"338","Ada Lasso",339.053669894211,0.26,2044,43
"339","Local prior",347.890253178867,0.2,6133,43
"340","Non local",356.820945118968,0.2,Inf,43
"341","Ada mod",336.618697490124,0.36,1082,43
"342","Lasso mod",337.429255724027,0.3,1226,43
"343","Naive",357.124635429564,0.8,200,43
"344","Oracle",346.646570436671,1,238,43
"345","Lasso",317.383242367968,0.22,18400,44
"346","Ada Lasso",327.22804338589,0.2,Inf,44
"347","Local prior",317.383242367968,0.22,18400,44
"348","Non local",327.22804338589,0.2,Inf,44
"349","Ada mod",321.514994742359,0.26,3680,44
"350","Lasso mod",317.383242367968,0.22,18400,44
"351","Naive",339.851899504126,0.8,200,44
"352","Oracle",327.365104701977,1,259,44
"353","Lasso",312.473340544319,0.2,Inf,45
"354","Ada Lasso",305.430541285727,0.22,6133,45
"355","Local prior",305.430541285727,0.22,6133,45
"356","Non local",312.473340544319,0.2,Inf,45
"357","Ada mod",312.473340544319,0.2,Inf,45
"358","Lasso mod",312.473340544319,0.2,Inf,45
"359","Naive",318.473327220559,0.8,200,45
"360","Oracle",304.068951171882,1,262,45
"361","Lasso",288.63836203195,0.44,408,46
"362","Ada Lasso",288.63836203195,0.44,408,46
"363","Local prior",285.059951635698,0.26,1533,46
"364","Non local",303.424316525513,0.2,Inf,46
"365","Ada mod",297.094725694533,0.22,4600,46
"366","Lasso mod",283.739252955126,0.46,800,46
"367","Naive",316.473986660435,0.8,200,46
"368","Oracle",291.378379794362,1,252,46
"369","Lasso",493.653590910868,0.32,920,47
"370","Ada Lasso",492.346125451385,0.24,2628,47
"371","Local prior",492.222963386399,0.26,1840,47
"372","Non local",494.422584287181,0.22,9200,47
"373","Ada mod",491.0442350249,0.3,1533,47
"374","Lasso mod",486.684260963455,0.36,1672,47
"375","Naive",535.373489185445,0.8,200,47
"376","Oracle",508.973837098775,1,252,47
"377","Lasso",273.312834972015,0.2,Inf,48
"378","Ada Lasso",268.631950363565,0.28,3680,48
"379","Local prior",273.312834972015,0.2,Inf,48
"380","Non local",273.312834972015,0.2,Inf,48
"381","Ada mod",270.5812467426,0.28,3680,48
"382","Lasso mod",267.991124863068,0.36,1840,48
"383","Naive",279.741481765481,0.8,200,48
"384","Oracle",268.540898753549,1,248,48
"385","Lasso",635.997981911003,0.36,2044,49
"386","Ada Lasso",635.59319600957,0.32,2628,49
"387","Local prior",645.210454667322,0.26,4600,49
"388","Non local",651.043431185453,0.22,18400,49
"389","Ada mod",635.997981911003,0.36,2044,49
"390","Lasso mod",635.997981911003,0.36,2044,49
"391","Naive",700.359905417521,0.8,200,49
"392","Oracle",690.239934295908,1,270,49
"393","Lasso",202.418900828805,0.34,1840,50
"394","Ada Lasso",207.865254908547,0.26,4600,50
"395","Local prior",210.247381672364,0.26,6133,50
"396","Non local",218.070852684744,0.2,Inf,50
"397","Ada mod",204.042489129945,0.3,3066,50
"398","Lasso mod",208.477457215251,0.28,4600,50
"399","Naive",213.137958838977,0.8,200,50
"400","Oracle",203.905092199219,1,255,50
"401","Lasso",479.571255063275,0.68,292,51
"402","Ada Lasso",470.71357726665,0.32,876,51
"403","Local prior",479.335003772831,0.24,3680,51
"404","Non local",502.93053830309,0.2,Inf,51
"405","Ada mod",470.236137409691,0.32,1082,51
"406","Lasso mod",474.747810019914,0.68,334,51
"407","Naive",491.390447877346,0.8,200,51
"408","Oracle",474.987282369615,1,252,51
"409","Lasso",663.160693143981,0.56,347,52
"410","Ada Lasso",659.118550788193,0.36,1082,52
"411","Local prior",665.914497850015,0.32,1533,52
"412","Non local",659.573524378877,0.26,4600,52
"413","Ada mod",668.147967100664,0.52,438,52
"414","Lasso mod",665.076437415128,0.5,408,52
"415","Naive",715.009483791835,0.8,200,52
"416","Oracle",687.517498130915,1,255,52
"417","Lasso",535.368663410541,0.3,634,53
"418","Ada Lasso",564.97727640464,0.2,2300,53
"419","Local prior",563.668765606258,0.16,4600,53
"420","Non local",572.920775383114,0.2,Inf,53
"421","Ada mod",549.388129812258,0.26,2300,53
"422","Lasso mod",558.498343689039,0.2,2300,53
"423","Naive",579.906817151081,0.8,200,53
"424","Oracle",548.810321183987,1,245,53
"425","Lasso",412.969078628916,0.26,2628,54
"426","Ada Lasso",410.491088016164,0.22,6133,54
"427","Local prior",411.259042988466,0.26,3680,54
"428","Non local",410.491088016164,0.22,6133,54
"429","Ada mod",414.30254609075,0.34,1226,54
"430","Lasso mod",410.253385994863,0.48,766,54
"431","Naive",438.759672695345,0.8,200,54
"432","Oracle",433.417284095772,1,252,54
"433","Lasso",491.42145163889,0.26,1840,55
"434","Ada Lasso",496.409180871412,0.26,3066,55
"435","Local prior",514.688856984515,0.22,9200,55
"436","Non local",525.897472677549,0.2,Inf,55
"437","Ada mod",492.078234393026,0.24,2628,55
"438","Lasso mod",504.282302804496,0.22,18400,55
"439","Naive",513.061892367419,0.8,200,55
"440","Oracle",506.100363526783,1,238,55
"441","Lasso",347.931855258838,0.3,1226,56
"442","Ada Lasso",349.668518934221,0.22,2300,56
"443","Local prior",358.189577878547,0.2,9200,56
"444","Non local",361.571888832566,0.22,18400,56
"445","Ada mod",352.730895608492,0.26,2628,56
"446","Lasso mod",353.268587680243,0.28,3066,56
"447","Naive",378.79498633828,0.8,200,56
"448","Oracle",371.105033080859,1,252,56
"449","Lasso",397.606404941311,0.26,2628,57
"450","Ada Lasso",397.825039962433,0.24,3066,57
"451","Local prior",394.749246319295,0.22,6133,57
"452","Non local",394.749246319295,0.22,6133,57
"453","Ada mod",397.606404941311,0.26,2628,57
"454","Lasso mod",397.390276697051,0.4,836,57
"455","Naive",472.704395079223,0.8,200,57
"456","Oracle",460.658017730227,1,255,57
"457","Lasso",248.018359878346,0.28,876,58
"458","Ada Lasso",246.408592663748,0.3,1022,58
"459","Local prior",253.129860908571,0.22,3066,58
"460","Non local",250.684336016004,0.22,3066,58
"461","Ada mod",247.48837133289,0.3,681,58
"462","Lasso mod",244.437028797907,0.28,920,58
"463","Naive",278.826089875758,0.8,200,58
"464","Oracle",261.215966919845,1,262,58
"465","Lasso",373.953794326544,0.42,736,59
"466","Ada Lasso",382.167580033388,0.3,2300,59
"467","Local prior",381.644256588717,0.28,3066,59
"468","Non local",390.477667170899,0.2,Inf,59
"469","Ada mod",390.147879880889,0.18,18400,59
"470","Lasso mod",368.531546354203,0.36,1533,59
"471","Naive",408.131920819538,0.8,200,59
"472","Oracle",396.214689746384,1,259,59
"473","Lasso",415.866263215007,0.48,497,60
"474","Ada Lasso",430.331316616924,0.24,2628,60
"475","Local prior",427.543427831522,0.26,1840,60
"476","Non local",436.70439078172,0.2,Inf,60
"477","Ada mod",421.162646273848,0.28,1314,60
"478","Lasso mod",421.780263820204,0.34,1022,60
"479","Naive",458.226335492098,0.8,200,60
"480","Oracle",445.135210360734,1,245,60
"481","Lasso",323.810927640616,0.26,1672,61
"482","Ada Lasso",335.174968868635,0.2,Inf,61
"483","Local prior",335.174968868635,0.2,Inf,61
"484","Non local",335.174968868635,0.2,Inf,61
"485","Ada mod",335.174968868635,0.2,Inf,61
"486","Lasso mod",335.174968868635,0.2,Inf,61
"487","Naive",371.833544208846,0.8,200,61
"488","Oracle",351.970040457619,1,238,61
"489","Lasso",859.89406628101,0.38,1082,62
"490","Ada Lasso",857.526910852434,0.34,1533,62
"491","Local prior",864.977025779422,0.24,9200,62
"492","Non local",868.017439708126,0.22,18400,62
"493","Ada mod",854.619585239652,0.36,1314,62
"494","Lasso mod",857.82534665812,0.36,1314,62
"495","Naive",959.966861424329,0.8,200,62
"496","Oracle",896.112306937608,1,252,62
"497","Lasso",698.897954201168,0.28,1840,63
"498","Ada Lasso",697.09253512179,0.24,2628,63
"499","Local prior",695.814679550606,0.2,4600,63
"500","Non local",724.892626530218,0.2,Inf,63
"501","Ada mod",720.826428417869,0.22,18400,63
"502","Lasso mod",688.536305382765,0.4,1150,63
"503","Naive",750.712547606892,0.8,200,63
"504","Oracle",700.11669522049,1,266,63
"505","Lasso",313.937282559346,0.38,836,64
"506","Ada Lasso",319.764600116587,0.24,6133,64
"507","Local prior",319.764600116587,0.24,6133,64
"508","Non local",320.013640136447,0.22,18400,64
"509","Ada mod",312.56147270962,0.34,1415,64
"510","Lasso mod",316.167976168801,0.26,6133,64
"511","Naive",344.842794496682,0.8,200,64
"512","Oracle",331.400573050715,1,259,64
"513","Lasso",485.368647787549,0.44,766,65
"514","Ada Lasso",474.931995314791,0.28,4600,65
"515","Local prior",487.515813926201,0.24,9200,65
"516","Non local",507.056642011133,0.2,Inf,65
"517","Ada mod",478.855425528743,0.32,1415,65
"518","Lasso mod",475.121313568949,0.3,2044,65
"519","Naive",511.84659566905,0.8,200,65
"520","Oracle",499.499561285622,1,242,65
"521","Lasso",634.524796203381,0.3,1082,66
"522","Ada Lasso",632.131243759098,0.28,1226,66
"523","Local prior",636.164573815988,0.24,2044,66
"524","Non local",659.316162103236,0.2,Inf,66
"525","Ada mod",640.557282312781,0.34,876,66
"526","Lasso mod",637.20863088574,0.4,836,66
"527","Naive",658.24952279766,0.8,200,66
"528","Oracle",659.911230113037,1,248,66
"529","Lasso",467.799991673194,0.26,1533,67
"530","Ada Lasso",474.028707857903,0.18,9200,67
"531","Local prior",474.028707857903,0.18,9200,67
